day,month,year,irrigation
15,5,1984,20
25,5,1984,20
5,6,1984,20
12,6,1984,20
20,6,1984,20
24,6,1984,20
1,7,1984,20
14,7,1984,20
20,7,1984,20
9,8,1984,20
19,8,1984,20
