day,month,year,mintp,mxntp,p,evp,,,,,,,,,
3,3,1986,12.43,22.93,0,3.7,,,,,,,,,
4,3,1986,11.03,21.7,0.1,3.1,,,,,,,,,
5,3,1986,9.36,20.87,0,2.7,,,,,,,,,
6,3,1986,8.85,20.49,0,2.1,,,,,,,,,
7,3,1986,11.86,15.81,0.94,1.5,,,,,,,,,
8,3,1986,11.09,17.2,10.25,1.7,,,,,,,,,
9,3,1986,9.5,17.22,0.71,2.3,,,,,,,,,
10,3,1986,9.36,13.8,32.27,1.7,,,,,,,,,
11,3,1986,7.47,14.33,12.8,1.6,,,,,,,,,
12,3,1986,6.43,16.6,2.68,2.3,,,,,,,,,
13,3,1986,8.05,15.27,10.19,2.2,,,,,,,,,
14,3,1986,6.45,20.26,0.01,3,,,,,,,,,
15,3,1986,9.75,15.92,2.34,1.9,,,,,,,,,
16,3,1986,10.03,15.46,12.83,2,,,,,,,,,
17,3,1986,9.4,15.91,5.4,2.1,,,,,,,,,
18,3,1986,8.58,17.37,0.71,2,,,,,,,,,
19,3,1986,8.26,18.81,0.11,2.8,,,,,,,,,
20,3,1986,9.45,17.49,2.07,2.3,,,,,,,,,
21,3,1986,9.4,16.75,0.05,2,,,,,,,,,
22,3,1986,7.9,15.69,2.4,2.2,,,,,,,,,
23,3,1986,8.4,14.67,0.5,2.2,,,,,,,,,
24,3,1986,9.48,15.94,0.56,2.4,,,,,,,,,
25,3,1986,9.38,21.31,0.05,3.7,,,,,,,,,
26,3,1986,10.32,23.08,0,3.5,,,,,,,,,
27,3,1986,10.19,14.64,3.73,2.2,,,,,,,,,
28,3,1986,9.31,15.86,7.06,2.3,,,,,,,,,
29,3,1986,8.41,18.76,0.03,2.8,,,,,,,,,
30,3,1986,8.21,21.13,0.01,3.5,,,,,,,,,
31,3,1986,10.48,18.39,1.38,2.9,,,,,,,,,
1,4,1986,8.84,19.68,0.04,3.4,,,,,,,,,
2,4,1986,8.88,23.58,0,3.5,,,,,,,,,
3,4,1986,11.09,26.51,0,4.5,,,,,,,,,
4,4,1986,11.92,20.48,0,3.1,,,,,,,,,
5,4,1986,12.51,19.83,0.01,3.2,,,,,,,,,
6,4,1986,10.11,22.62,0,3.2,,,,,,,,,
7,4,1986,11.78,23.65,0.01,4.2,,,,,,,,,
8,4,1986,12.36,23.79,0.11,3.3,,,,,,,,,
9,4,1986,11.59,20.04,0.23,3.2,,,,,,,,,
10,4,1986,9.91,20.5,0.02,4,,,,,,,,,
11,4,1986,11.1,21.87,0.01,3.3,,,,,,,,,
12,4,1986,11.69,25.4,0.38,3.1,,,,,,,,,
13,4,1986,11.17,20.69,0.14,3.7,,,,,,,,,
14,4,1986,9.45,15.94,2.4,2.9,,,,,,,,,
15,4,1986,7.86,19.61,0.01,3.3,,,,,,,,,
16,4,1986,10.71,22.35,0.02,3.5,,,,,,,,,
17,4,1986,11.25,22.63,0,3.8,,,,,,,,,
18,4,1986,12.15,24.11,0,4.6,,,,,,,,,
19,4,1986,12.41,20.09,0.11,3.3,,,,,,,,,
20,4,1986,11.33,16.9,4.51,3.6,,,,,,,,,
21,4,1986,10.02,19.39,0.15,3.7,,,,,,,,,
22,4,1986,8.24,23.38,0,4,,,,,,,,,
23,4,1986,11.41,25.42,0,5.3,,,,,,,,,
24,4,1986,12.5,24.47,0,4.1,,,,,,,,,
25,4,1986,11.05,24.17,0.03,4.1,,,,,,,,,
26,4,1986,11.33,24.88,0,4.6,,,,,,,,,
27,4,1986,13.2,22.75,0,3.7,,,,,,,,,
28,4,1986,12.3,20.35,0.1,3.3,,,,,,,,,
29,4,1986,10.55,20.4,0.59,4,,,,,,,,,
30,4,1986,10.55,17.89,1.63,3.5,,,,,,,,,
1,5,1986,11.32,16.13,5.69,2,,,,,,,,,
2,5,1986,10.02,21.54,0.93,3.8,,,,,,,,,
3,5,1986,11.42,26.51,0.23,4.7,,,,,,,,,
4,5,1986,15.19,26.68,0.34,4.6,,,,,,,,,
5,5,1986,13.77,20.29,32.15,1.7,,,,,,,,,
6,5,1986,12.6,21.68,0.12,3.5,,,,,,,,,
7,5,1986,11.13,24.71,0,4.5,,,,,,,,,
8,5,1986,13.72,26.49,4.6,4.9,,,,,,,,,
9,5,1986,16.06,27.63,5.05,4.6,,,,,,,,,
10,5,1986,14.72,23.2,0,4.8,,,,,,,,,
11,5,1986,13.3,22.74,0,4.2,,,,,,,,,
12,5,1986,12.59,24.13,0,4.1,,,,,,,,,
13,5,1986,13.33,24.71,0,4.8,,,,,,,,,
14,5,1986,12.67,26.91,0,5.7,,,,,,,,,
15,5,1986,14.92,28.37,0.21,5.5,,,,,,,,,
16,5,1986,15.83,28.66,0.27,4.5,,,,,,,,,
17,5,1986,17.31,30.65,0,6.7,,,,,,,,,
18,5,1986,17.59,31.86,0,6.5,,,,,,,,,
19,5,1986,16.75,26.83,0,3.7,,,,,,,,,
20,5,1986,15.99,26.78,0,5.7,,,,,,,,,
21,5,1986,16.4,29.43,0,6.7,,,,,,,,,
22,5,1986,17.11,32.93,0,6.9,,,,,,,,,
23,5,1986,18.36,31.67,0,5.5,,,,,,,,,
24,5,1986,19.48,29.83,0,6.7,,,,,,,,,
25,5,1986,19.05,28.47,0.12,5.9,,,,,,,,,
26,5,1986,17.69,27.67,0,5.6,,,,,,,,,
27,5,1986,16.43,28.44,0.02,4.8,,,,,,,,,
28,5,1986,18,28.92,0.01,4.8,,,,,,,,,
29,5,1986,19.1,30.74,1.72,5.3,,,,,,,,,
30,5,1986,18.59,28.99,0.72,4.8,,,,,,,,,
31,5,1986,16.86,23.2,0,5.2,,,,,,,,,
1,6,1986,15.18,22.36,0.12,4.7,,,,,,,,,
2,6,1986,14.27,22.87,0.04,4.3,,,,,,,,,
3,6,1986,15.74,27.38,1.96,4.6,,,,,,,,,
4,6,1986,16.96,27.18,6.73,4.6,,,,,,,,,
5,6,1986,16.67,29.11,0.92,5.1,,,,,,,,,
6,6,1986,16.72,28.6,0.32,4.8,,,,,,,,,
7,6,1986,17.6,29.06,0.95,5,,,,,,,,,
8,6,1986,16.13,24,3.47,4.3,,,,,,,,,
9,6,1986,15.75,23.14,0,5,,,,,,,,,
10,6,1986,15.45,24.9,0,5,,,,,,,,,
11,6,1986,14.95,26.73,0.01,5.7,,,,,,,,,
12,6,1986,14.89,27.89,0,6.1,,,,,,,,,
13,6,1986,17.66,28.51,0,6.5,,,,,,,,,
14,6,1986,15.85,25.56,0.1,5.2,,,,,,,,,
15,6,1986,16.32,26.02,0.7,4.9,,,,,,,,,
16,6,1986,16.72,28.25,2.72,4.9,,,,,,,,,
17,6,1986,18.61,28.4,0.29,5.7,,,,,,,,,
18,6,1986,18.49,27.54,1.73,4.5,,,,,,,,,
19,6,1986,16.74,27,0,5.2,,,,,,,,,
20,6,1986,16.93,29.26,0.1,5.3,,,,,,,,,
21,6,1986,18.7,30.85,1,5.6,,,,,,,,,
22,6,1986,21.05,34.01,0.17,6.5,,,,,,,,,
23,6,1986,19.76,30.12,0,5.1,,,,,,,,,
24,6,1986,18.94,33.4,0,6.9,,,,,,,,,
25,6,1986,20.96,33.13,0,7,,,,,,,,,
26,6,1986,21.31,33.63,0,5.8,,,,,,,,,
27,6,1986,20.13,32.27,0,5.9,,,,,,,,,
28,6,1986,20.41,34.1,0,6.4,,,,,,,,,
29,6,1986,21.83,32.91,0,6.4,,,,,,,,,
30,6,1986,20.21,34,0,7,,,,,,,,,
1,7,1986,21.19,30.42,0.49,6.1,,,,,,,,,
2,7,1986,20.36,29.75,0.24,5.5,,,,,,,,,
3,7,1986,19.96,30.11,0,4.9,,,,,,,,,
4,7,1986,19.73,32.04,0.02,5.9,,,,,,,,,
5,7,1986,21.63,31.42,0.14,5.5,,,,,,,,,
6,7,1986,21.47,30.58,6.03,5.3,,,,,,,,,
7,7,1986,21.29,33.43,0.08,6.5,,,,,,,,,
8,7,1986,21.65,31.91,0,6.5,,,,,,,,,
9,7,1986,20.35,29.91,0,5.9,,,,,,,,,
10,7,1986,19.12,32.01,0,6.8,,,,,,,,,
11,7,1986,20.17,30.04,0,6.3,,,,,,,,,
12,7,1986,19.19,31.98,0,5.6,,,,,,,,,
13,7,1986,19.16,31.19,0,5.5,,,,,,,,,
14,7,1986,20.04,34.07,0.32,6.9,,,,,,,,,
15,7,1986,21.89,29.41,0.97,4.4,,,,,,,,,
16,7,1986,20.96,28.89,0.01,5.1,,,,,,,,,
17,7,1986,19.54,29.89,0,5.7,,,,,,,,,
18,7,1986,18.87,31.21,0,5.1,,,,,,,,,
19,7,1986,19.56,31.91,0,6.4,,,,,,,,,
20,7,1986,20.94,27.82,0.78,4,,,,,,,,,
21,7,1986,20.38,25.64,11.63,5.4,,,,,,,,,
22,7,1986,20.16,27.42,7.86,5.4,,,,,,,,,
23,7,1986,18.31,29.48,0,5.6,,,,,,,,,
24,7,1986,19.2,33.34,0,6.4,,,,,,,,,
25,7,1986,21.23,39.03,0,8.1,,,,,,,,,
26,7,1986,22.47,36.29,0,6.5,,,,,,,,,
27,7,1986,22.68,40.04,0.16,8.4,,,,,,,,,
28,7,1986,22.06,34.73,0.02,5.2,,,,,,,,,
29,7,1986,22.61,37.43,0.02,6.9,,,,,,,,,
30,7,1986,21.67,32.84,0,5.3,,,,,,,,,
31,7,1986,21.24,33.03,0,6.2,,,,,,,,,
1,8,1986,21.64,34.02,0,6.6,,,,,,,,,
2,8,1986,21.56,36.28,0.09,7.6,,,,,,,,,
3,8,1986,23.83,36.27,0.01,7.7,,,,,,,,,
4,8,1986,24.68,36.39,0.05,7.4,,,,,,,,,
5,8,1986,23.66,35.61,0.03,6.1,,,,,,,,,
6,8,1986,23.13,33.8,1.08,5.7,,,,,,,,,
7,8,1986,22.25,32.62,0.01,6.2,,,,,,,,,
8,8,1986,22.26,31.27,0.22,6,,,,,,,,,
9,8,1986,20.99,33.36,0,5.9,,,,,,,,,
10,8,1986,22.13,34.95,0,6.4,,,,,,,,,
11,8,1986,23.04,35.09,0.01,6.6,,,,,,,,,
12,8,1986,24.29,37.09,0.08,6.8,,,,,,,,,
13,8,1986,24.25,37.18,0,6.1,,,,,,,,,
14,8,1986,24.21,36.77,0.11,6.2,,,,,,,,,
15,8,1986,25.88,37.17,0,6.7,,,,,,,,,
16,8,1986,23.26,34.42,0,5.2,,,,,,,,,
17,8,1986,22.98,33.9,0,5.6,,,,,,,,,
18,8,1986,22.45,34.59,0,6,,,,,,,,,
19,8,1986,22.68,36.59,0,7.4,,,,,,,,,
20,8,1986,24.15,37.99,0,6.8,,,,,,,,,
21,8,1986,23.2,35.08,0,5.7,,,,,,,,,
22,8,1986,22.29,31.93,0,5.4,,,,,,,,,
23,8,1986,22.12,33.95,0,5.1,,,,,,,,,
24,8,1986,22,38.64,0,6.8,,,,,,,,,
25,8,1986,23.44,34.15,0,5.3,,,,,,,,,
26,8,1986,22.84,30.66,0,5.2,,,,,,,,,
27,8,1986,21.9,34.44,0,5.3,,,,,,,,,
28,8,1986,23.31,35.27,0,5.6,,,,,,,,,
29,8,1986,23.83,37.75,0,5.7,,,,,,,,,
30,8,1986,23.3,31.54,0.15,4.5,,,,,,,,,
31,8,1986,22.6,30.47,0,4.3,,,,,,,,,
1,9,1986,22.08,33.32,0.19,4.8,,,,,,,,,
2,9,1986,23.01,30.82,0.05,4.3,,,,,,,,,
3,9,1986,20.63,27.65,0,4.8,,,,,,,,,
4,9,1986,19.47,29.89,0,4.4,,,,,,,,,
5,9,1986,20.7,30.23,0,5.1,,,,,,,,,
6,9,1986,20.13,29.72,0,4.4,,,,,,,,,
7,9,1986,20.22,29.54,0,4.3,,,,,,,,,
8,9,1986,19.91,30.42,0,4.3,,,,,,,,,
9,9,1986,20.14,31.98,1.57,4.9,,,,,,,,,
10,9,1986,22.73,29.92,1.46,4.6,,,,,,,,,
11,9,1986,21.53,27.96,1.71,4,,,,,,,,,
12,9,1986,20.2,28.77,0,4.5,,,,,,,,,
13,9,1986,20.16,32.04,0.02,5.3,,,,,,,,,
14,9,1986,21.84,29.13,2.64,4.2,,,,,,,,,
15,9,1986,21.21,30.95,0.08,4.2,,,,,,,,,
16,9,1986,22.1,32.16,0.5,5.4,,,,,,,,,
17,9,1986,23.67,33.33,0.81,5.5,,,,,,,,,
18,9,1986,23.37,33.52,0.28,4.6,,,,,,,,,
19,9,1986,22.68,33.97,0.01,4.7,,,,,,,,,
20,9,1986,22.58,34.33,0,5.2,,,,,,,,,
21,9,1986,23.51,35.37,0.03,5.2,,,,,,,,,
22,9,1986,22.7,29.15,0.98,3.9,,,,,,,,,
23,9,1986,19.34,26.75,0.01,3.9,,,,,,,,,
24,9,1986,18.26,28.94,0,3.9,,,,,,,,,
25,9,1986,18.51,31.5,0,4.4,,,,,,,,,
26,9,1986,20.99,29.73,0.6,3.1,,,,,,,,,
27,9,1986,20.41,27.28,0.22,3.6,,,,,,,,,
28,9,1986,19.86,26.59,1.21,3.9,,,,,,,,,
29,9,1986,19.16,26.15,5.29,3.1,,,,,,,,,
30,9,1986,19.33,25.95,11.54,2.7,,,,,,,,,
1,10,1986,21.33,26.71,11.63,2.2,,,,,,,,,
2,10,1986,21.78,27.46,6.12,2.5,,,,,,,,,
3,10,1986,21.11,26.39,3.51,2.7,,,,,,,,,
4,10,1986,19.79,28.7,0.72,3.2,,,,,,,,,
5,10,1986,20.09,29.12,0.36,3.5,,,,,,,,,
6,10,1986,20.6,29.82,5.59,3.4,,,,,,,,,
7,10,1986,21.35,27.36,1.59,2.7,,,,,,,,,
8,10,1986,20.1,25.2,2.3,2.8,,,,,,,,,
9,10,1986,19.97,25.01,7.89,2.7,,,,,,,,,
10,10,1986,19.33,25.18,5.7,2.7,,,,,,,,,
11,10,1986,18.89,26.33,2.61,2.8,,,,,,,,,
12,10,1986,18.33,26.55,1.27,3.1,,,,,,,,,
13,10,1986,19.83,26.53,3.84,3,,,,,,,,,
14,10,1986,19.51,26.53,2.48,3.2,,,,,,,,,
15,10,1986,19.37,25.76,1.85,2.4,,,,,,,,,
16,10,1986,19.57,25.38,3.21,3.2,,,,,,,,,
17,10,1986,17.38,26.95,3.69,2.8,,,,,,,,,
18,10,1986,17.47,25.86,1.25,2.6,,,,,,,,,
19,10,1986,17.43,25.17,14.56,2.3,,,,,,,,,
20,10,1986,17.99,24.57,15.61,2.4,,,,,,,,,
21,10,1986,17.49,24.99,0.74,2.4,,,,,,,,,
22,10,1986,17.01,24.68,0.08,3.4,,,,,,,,,
23,10,1986,17.46,25.96,0.1,2.7,,,,,,,,,
24,10,1986,15.62,28.49,0.23,3.4,,,,,,,,,
25,10,1986,14.49,21.87,1.06,2.3,,,,,,,,,
26,10,1986,13.19,20.14,0.13,2.1,,,,,,,,,
27,10,1986,15.55,21.67,1.1,2.4,,,,,,,,,
28,10,1986,14.47,19.17,3.42,2.2,,,,,,,,,
29,10,1986,13.42,17.57,7.17,1.3,,,,,,,,,
30,10,1986,15.63,20.51,3.39,1.8,,,,,,,,,
31,10,1986,15.97,21.02,1.2,1.9,,,,,,,,,
1,11,1986,14.41,20.97,0.44,2,,,,,,,,,
2,11,1986,14.06,21.59,0.14,2.1,,,,,,,,,
3,11,1986,11.9,23,0.52,2.1,,,,,,,,,
4,11,1986,13.69,18.62,5.03,2,,,,,,,,,
5,11,1986,13.96,18.76,0.56,1.9,,,,,,,,,
6,11,1986,13.11,18.56,0.26,2.4,,,,,,,,,
7,11,1986,12.14,18.55,0.87,1.7,,,,,,,,,
8,11,1986,12.58,20.07,0.16,1.8,,,,,,,,,
9,11,1986,12.52,20.04,0.23,1.5,,,,,,,,,
10,11,1986,12.07,20.83,0,1.8,,,,,,,,,
11,11,1986,11.79,21.33,0,1.8,,,,,,,,,
12,11,1986,13.67,21.13,0.65,1.5,,,,,,,,,
13,11,1986,13.44,19.71,2.04,1.2,,,,,,,,,
14,11,1986,13.9,19.01,5.39,1.5,,,,,,,,,
15,11,1986,13.02,20.29,0.07,1.5,,,,,,,,,
16,11,1986,13.05,21.49,0.05,1.6,,,,,,,,,
17,11,1986,15.04,19.63,0.02,1.5,,,,,,,,,
18,11,1986,16.14,19.61,2.04,1.3,,,,,,,,,
19,11,1986,13.98,16.93,17.36,0.8,,,,,,,,,
20,11,1986,13.4,17.72,8.97,0.9,,,,,,,,,
21,11,1986,12.22,18.48,1.97,1.3,,,,,,,,,
22,11,1986,11.47,17.96,0.6,1.4,,,,,,,,,
23,11,1986,11.89,15.44,0.9,1.2,,,,,,,,,
24,11,1986,11.59,20,6.32,1.3,,,,,,,,,
25,11,1986,11.54,14.2,11,1.4,,,,,,,,,
26,11,1986,11.75,17.61,2.81,1,,,,,,,,,
27,11,1986,14.52,19,3.05,1.2,,,,,,,,,
28,11,1986,11.85,18.49,0.51,1.3,,,,,,,,,
29,11,1986,10.5,17.44,0.2,1.5,,,,,,,,,
30,11,1986,9.71,17.6,0.2,1,,,,,,,,,
1,12,1986,10.6,16.68,0.74,1.4,,,,,,,,,
2,12,1986,9.65,17.98,0.21,1.3,,,,,,,,,
3,12,1986,11.04,16.66,1.55,1.2,,,,,,,,,
4,12,1986,11.51,17.04,1.49,1.2,,,,,,,,,
5,12,1986,11.91,17.08,1.28,1.2,,,,,,,,,
6,12,1986,11.9,15.65,1.64,1.1,,,,,,,,,
7,12,1986,10.84,15.95,0.94,1.2,,,,,,,,,
8,12,1986,8.62,16.67,0.05,1.3,,,,,,,,,
9,12,1986,9.11,16.66,0,1.3,,,,,,,,,
10,12,1986,8.5,16.45,0.01,1,,,,,,,,,
11,12,1986,10.63,15.99,0.3,1,,,,,,,,,
12,12,1986,11.04,16,2.22,1.1,,,,,,,,,
13,12,1986,9.88,16.09,1.76,1.3,,,,,,,,,
14,12,1986,8.96,16.46,1.05,1.2,,,,,,,,,
15,12,1986,7.82,17.65,0.72,1.5,,,,,,,,,
16,12,1986,9.35,15.89,7.87,1.2,,,,,,,,,
17,12,1986,7.74,15.56,0.41,1.2,,,,,,,,,
18,12,1986,11.02,15.67,2.84,1.4,,,,,,,,,
19,12,1986,10.62,15.73,0.29,1.2,,,,,,,,,
20,12,1986,9.2,18.95,0.17,1.7,,,,,,,,,
21,12,1986,10.39,15.52,0.05,1.3,,,,,,,,,
22,12,1986,9.67,15.66,1.38,1,,,,,,,,,
23,12,1986,7.91,13.1,2.3,0.7,,,,,,,,,
24,12,1986,6.44,11.3,1.58,0.9,,,,,,,,,
25,12,1986,6.24,9.9,3.04,1,,,,,,,,,
26,12,1986,5.35,9.43,4.65,1,,,,,,,,,
27,12,1986,4.61,11.81,4.29,1,,,,,,,,,
28,12,1986,9.95,15.58,5.79,1.3,,,,,,,,,
29,12,1986,7.62,13.43,1.35,1.4,,,,,,,,,
30,12,1986,8.51,14.62,1,1,,,,,,,,,
31,12,1986,6.32,15.27,0.25,1.3,,,,,,,,,
1,1,1987,7.68,16.06,0,1,,,,,,,,,
2,1,1987,7.72,17.64,0.15,1.2,,,,,,,,,
3,1,1987,10.04,13.76,1.78,1.4,,,,,,,,,
4,1,1987,8.56,13.05,1.44,1.9,,,,,,,,,
5,1,1987,7.31,14.03,0.27,1.1,,,,,,,,,
6,1,1987,5.11,15.16,0,1.1,,,,,,,,,
7,1,1987,9.2,16.03,1.58,1.3,,,,,,,,,
8,1,1987,7.73,11.72,0.97,0.9,,,,,,,,,
9,1,1987,5.74,11.94,0.04,1,,,,,,,,,
10,1,1987,4.08,15.06,2.77,1.1,,,,,,,,,
11,1,1987,7.79,13.94,1.99,1.3,,,,,,,,,
12,1,1987,6.57,14.35,0.61,1.3,,,,,,,,,
13,1,1987,7.62,18.96,0,1.5,,,,,,,,,
14,1,1987,6.41,19.87,0.75,2.2,,,,,,,,,
15,1,1987,3.71,9.99,0.92,2.2,,,,,,,,,
16,1,1987,4.34,7.41,1.41,1.7,,,,,,,,,
17,1,1987,5.09,9.36,5.21,0.9,,,,,,,,,
18,1,1987,7.96,10.38,7.61,0.8,,,,,,,,,
19,1,1987,8.34,12.32,2.2,0.8,,,,,,,,,
20,1,1987,7.69,13.24,0.86,1.1,,,,,,,,,
21,1,1987,5.93,14.72,0.04,1.5,,,,,,,,,
22,1,1987,6.86,15.11,0.02,1.3,,,,,,,,,
23,1,1987,8.26,16,0.05,1.1,,,,,,,,,
24,1,1987,7.53,15.86,0.07,1.9,,,,,,,,,
25,1,1987,7.56,15.26,0.05,1.3,,,,,,,,,
26,1,1987,6.54,16.95,0,1.2,,,,,,,,,
27,1,1987,8,20.32,0,1.6,,,,,,,,,
28,1,1987,11.03,22.52,0,1.5,,,,,,,,,
29,1,1987,11.44,19.7,0.01,2,,,,,,,,,
30,1,1987,9.86,18.17,0.06,2,,,,,,,,,
31,1,1987,10.83,14.81,4.01,1.6,,,,,,,,,
1,2,1987,10.2,14.36,2.32,1,,,,,,,,,
2,2,1987,7.86,17.32,0.09,1.5,,,,,,,,,
3,2,1987,7.52,18.77,0,1.8,,,,,,,,,
4,2,1987,8.69,18.65,0.01,1.6,,,,,,,,,
5,2,1987,11.13,16.05,4.24,2,,,,,,,,,
6,2,1987,10.77,15.26,2.43,1,,,,,,,,,
7,2,1987,10.43,15.42,0.33,1.3,,,,,,,,,
8,2,1987,10.98,15.49,1.65,1.6,,,,,,,,,
9,2,1987,9.53,17.51,0.27,1.5,,,,,,,,,
10,2,1987,6.59,18.66,0,1.9,,,,,,,,,
11,2,1987,7.76,17.38,0.06,2,,,,,,,,,
12,2,1987,9.46,17.25,1.12,1.9,,,,,,,,,
13,2,1987,9.05,14.93,6.88,1.9,,,,,,,,,
14,2,1987,10.99,15.63,2.72,1.4,,,,,,,,,
15,2,1987,9.39,15.99,0.59,1.6,,,,,,,,,
16,2,1987,8.1,13.91,1.11,1.7,,,,,,,,,
17,2,1987,7.59,13.35,0.33,1.5,,,,,,,,,
18,2,1987,7.28,14.46,0.87,1.3,,,,,,,,,
19,2,1987,7.29,14.54,5.78,1.7,,,,,,,,,
20,2,1987,5.53,13.12,0.32,1.5,,,,,,,,,
21,2,1987,4.43,16.34,0.13,2,,,,,,,,,
22,2,1987,7.26,13.03,3.44,2.3,,,,,,,,,
23,2,1987,7.72,10.89,2.45,1.8,,,,,,,,,
24,2,1987,6.84,14.01,0.13,1.6,,,,,,,,,
25,2,1987,6.72,17.09,0.11,2,,,,,,,,,
26,2,1987,9.1,13.45,11.21,1.9,,,,,,,,,
27,2,1987,7.59,14.22,0.41,1.2,,,,,,,,,
28,2,1987,9.09,17.62,0.32,1.8,,,,,,,,,
1,3,1987,11.01,17.68,0.32,2.2,,,,,,,,,
2,3,1987,9.95,19.12,0.1,2,,,,,,,,,
3,3,1987,10.51,17.19,0.12,2.4,,,,,,,,,
4,3,1987,10.3,14.51,0.19,2.5,,,,,,,,,
5,3,1987,8.36,16.47,0.35,1.8,,,,,,,,,
6,3,1987,6.34,13.8,0.15,2.2,,,,,,,,,
7,3,1987,6.31,13.68,1.32,1.8,,,,,,,,,
8,3,1987,7.71,9.44,4.3,1.9,,,,,,,,,
9,3,1987,6.83,9.96,10.63,1.2,,,,,,,,,
10,3,1987,6.18,13.62,2.52,1.5,,,,,,,,,
11,3,1987,5.68,14.54,0.01,1.9,,,,,,,,,
12,3,1987,6.81,11.57,1.65,2.1,,,,,,,,,
13,3,1987,8.62,14.76,1.98,1.8,,,,,,,,,
14,3,1987,9.04,14.81,2.14,1.6,,,,,,,,,
15,3,1987,6.52,13.49,0.28,1.9,,,,,,,,,
16,3,1987,5.44,15.24,0.06,2.2,,,,,,,,,
17,3,1987,6.78,15.09,0.06,2.5,,,,,,,,,
18,3,1987,7.12,15.99,0.08,2.1,,,,,,,,,
19,3,1987,7.39,18.81,0.11,2.4,,,,,,,,,
20,3,1987,9.42,16.54,1.25,2.8,,,,,,,,,
21,3,1987,9.46,15.94,0.41,2.3,,,,,,,,,
22,3,1987,9.81,15.5,7.1,2.1,,,,,,,,,
23,3,1987,9.55,15.25,2.88,2.1,,,,,,,,,
24,3,1987,9.47,17.27,0.04,2.5,,,,,,,,,
25,3,1987,7.04,21.89,0,2.8,,,,,,,,,
26,3,1987,10.99,23.77,0,3.4,,,,,,,,,
27,3,1987,11.73,21.28,0.05,3.8,,,,,,,,,
28,3,1987,9.78,24.52,0,3,,,,,,,,,
29,3,1987,10.01,16.5,0.39,4,,,,,,,,,
30,3,1987,8.14,12.22,3.64,2.4,,,,,,,,,
31,3,1987,8.67,12.06,5.83,2.3,,,,,,,,,
1,4,1987,7.55,12.54,5.03,2.4,,,,,,,,,
2,4,1987,6.32,17.5,0.38,2.4,,,,,,,,,
3,4,1987,8.41,22.52,0,3.2,,,,,,,,,
4,4,1987,11.39,22.76,0,4.5,,,,,,,,,
5,4,1987,11.13,21.55,0,4.2,,,,,,,,,
6,4,1987,11.64,22.53,0,4,,,,,,,,,
7,4,1987,13.94,25.88,0.02,3.8,,,,,,,,,
8,4,1987,15.44,26,0,4.3,,,,,,,,,
9,4,1987,15,24.78,0.11,4.3,,,,,,,,,
10,4,1987,11.85,19.5,0.2,4.3,,,,,,,,,
11,4,1987,10.69,18.48,0.2,3.1,,,,,,,,,
12,4,1987,10.81,20.2,0.15,3.4,,,,,,,,,
13,4,1987,11.18,17.13,5.43,3.6,,,,,,,,,
14,4,1987,11.02,15.52,8.4,2.9,,,,,,,,,
15,4,1987,10.16,17.73,5.15,2.4,,,,,,,,,
16,4,1987,9.09,18.26,0.45,3,,,,,,,,,
17,4,1987,8.49,18.53,0,3.1,,,,,,,,,
18,4,1987,8.53,21.31,0,3.2,,,,,,,,,
19,4,1987,10.17,24.15,0,4.2,,,,,,,,,
20,4,1987,11.45,25.35,0,4.5,,,,,,,,,
21,4,1987,13.3,24.72,0.02,4.5,,,,,,,,,
22,4,1987,12.25,21.28,0,4.9,,,,,,,,,
23,4,1987,11.51,21.08,0,4.1,,,,,,,,,
24,4,1987,10.47,22.04,0,3.6,,,,,,,,,
25,4,1987,13.31,22.62,0.01,3.5,,,,,,,,,
26,4,1987,12.74,23.23,0,3.5,,,,,,,,,
27,4,1987,10.94,24.75,0.01,3.8,,,,,,,,,
28,4,1987,13.09,21.53,0,4,,,,,,,,,
29,4,1987,11.25,22.17,0,3.3,,,,,,,,,
30,4,1987,10.58,21.52,0,4.1,,,,,,,,,
1,5,1987,12.81,22.76,0.01,3.9,,,,,,,,,
2,5,1987,13.1,22.73,0,4,,,,,,,,,
3,5,1987,12.54,24.83,0,4,,,,,,,,,
4,5,1987,10.47,20,0.01,3.9,,,,,,,,,
5,5,1987,9.06,18.31,0.11,3.5,,,,,,,,,
6,5,1987,9.98,16.45,5.09,3.7,,,,,,,,,
7,5,1987,11.56,18.45,2.75,3.6,,,,,,,,,
8,5,1987,10.26,21.83,0.03,3.6,,,,,,,,,
9,5,1987,10.86,22.88,0,4,,,,,,,,,
10,5,1987,11.16,24.42,0,5.6,,,,,,,,,
11,5,1987,14.9,26.12,0.7,5.1,,,,,,,,,
12,5,1987,13.86,22.69,0,6.4,,,,,,,,,
13,5,1987,12.27,27.72,0.21,4.6,,,,,,,,,
14,5,1987,13.57,20.87,9.47,5.9,,,,,,,,,
15,5,1987,11.62,19.39,0.44,4.2,,,,,,,,,
16,5,1987,10.57,25.96,0,3.9,,,,,,,,,
17,5,1987,14.25,24.22,0.05,5.3,,,,,,,,,
18,5,1987,14.02,23.08,0.01,5.2,,,,,,,,,
19,5,1987,12.59,24.25,0.42,3.4,,,,,,,,,
20,5,1987,14.13,23.3,0.04,4.3,,,,,,,,,
21,5,1987,13.64,21.83,0,4.8,,,,,,,,,
22,5,1987,11.96,26.14,0,4.7,,,,,,,,,
23,5,1987,14.86,26.15,0.75,5,,,,,,,,,
24,5,1987,15.63,24.02,0.69,5.1,,,,,,,,,
